Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
32.274	0.10132	0.99494	1.0051	2.4361	2.4379	8.4304	74.000	75.294	1514.2	-0.21675	760.09	0.61778	liquid
32.457	0.10132	0.99488	1.0051	2.4499	2.4517	8.4755	73.986	75.294	1514.6	-0.21663	757.21	0.61805	liquid
32.640	0.10132	0.99482	1.0052	2.4637	2.4655	8.5207	73.971	75.293	1515.0	-0.21652	754.36	0.61832	liquid
32.824	0.10132	0.99476	1.0053	2.4775	2.4793	8.5658	73.957	75.293	1515.4	-0.21641	751.52	0.61859	liquid
33.007	0.10132	0.99470	1.0053	2.4913	2.4931	8.6109	73.943	75.293	1515.8	-0.21629	748.70	0.61885	liquid
33.190	0.10132	0.99464	1.0054	2.5051	2.5069	8.6560	73.929	75.292	1516.2	-0.21618	745.90	0.61912	liquid
33.374	0.10132	0.99458	1.0054	2.5189	2.5207	8.7010	73.914	75.292	1516.6	-0.21606	743.12	0.61938	liquid
33.557	0.10132	0.99452	1.0055	2.5327	2.5345	8.7460	73.900	75.292	1516.9	-0.21595	740.35	0.61965	liquid
33.740	0.10132	0.99446	1.0056	2.5465	2.5484	8.7910	73.886	75.292	1517.3	-0.21583	737.60	0.61991	liquid
33.924	0.10132	0.99440	1.0056	2.5603	2.5622	8.8360	73.872	75.291	1517.7	-0.21572	734.86	0.62017	liquid
34.107	0.10132	0.99434	1.0057	2.5741	2.5760	8.8809	73.857	75.291	1518.1	-0.21561	732.14	0.62043	liquid
34.290	0.10132	0.99428	1.0058	2.5879	2.5898	8.9258	73.843	75.291	1518.4	-0.21549	729.44	0.62070	liquid
34.474	0.10132	0.99421	1.0058	2.6017	2.6036	8.9707	73.828	75.291	1518.8	-0.21538	726.75	0.62096	liquid
34.657	0.10132	0.99415	1.0059	2.6155	2.6174	9.0156	73.814	75.291	1519.2	-0.21527	724.08	0.62122	liquid
34.840	0.10132	0.99409	1.0059	2.6293	2.6312	9.0604	73.799	75.291	1519.5	-0.21515	721.43	0.62147	liquid
35.023	0.10132	0.99403	1.0060	2.6431	2.6450	9.1052	73.785	75.290	1519.9	-0.21504	718.79	0.62173	liquid
35.207	0.10132	0.99396	1.0061	2.6569	2.6588	9.1500	73.771	75.290	1520.3	-0.21493	716.17	0.62199	liquid
35.390	0.10132	0.99390	1.0061	2.6707	2.6726	9.1947	73.756	75.290	1520.6	-0.21482	713.56	0.62225	liquid
35.573	0.10132	0.99383	1.0062	2.6845	2.6864	9.2394	73.741	75.290	1521.0	-0.21470	710.97	0.62250	liquid
35.757	0.10132	0.99377	1.0063	2.6983	2.7002	9.2841	73.727	75.290	1521.3	-0.21459	708.39	0.62276	liquid
35.940	0.10132	0.99371	1.0063	2.7121	2.7140	9.3288	73.712	75.290	1521.7	-0.21448	705.83	0.62301	liquid
36.123	0.10132	0.99364	1.0064	2.7259	2.7278	9.3734	73.698	75.290	1522.0	-0.21437	703.28	0.62327	liquid
36.307	0.10132	0.99358	1.0065	2.7397	2.7416	9.4180	73.683	75.290	1522.4	-0.21426	700.75	0.62352	liquid
